Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6501.3694,0.0640,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.3694,0.0640,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4117,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4117,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4540,0.0737,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4540,0.0737,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4963,0.0789,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.4963,0.0789,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.5386,0.0725,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.5386,0.0725,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.5809,0.0769,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.5809,0.0769,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.6232,0.0616,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.6232,0.0616,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.6655,0.0765,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.6655,0.0765,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7078,0.0560,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7078,0.0560,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7501,0.0495,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7501,0.0495,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7923,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.7923,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.8346,0.0673,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.8346,0.0673,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.8769,0.0580,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.8769,0.0580,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.9191,0.0637,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.9191,0.0637,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.9614,0.0676,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.9614,0.0676,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0036,0.0613,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0036,0.0613,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0459,0.0546,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0459,0.0546,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0881,0.0550,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.0881,0.0550,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.1303,0.0763,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.1303,0.0763,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.1726,0.0660,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.1726,0.0660,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2148,0.0800,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2148,0.0800,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2570,0.0597,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2570,0.0597,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2992,0.0650,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.2992,0.0650,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.3414,0.0632,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.3414,0.0632,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.3836,0.0633,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.3836,0.0633,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.4258,0.0621,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.4258,0.0621,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.4680,0.0498,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.4680,0.0498,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5102,0.0686,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5102,0.0686,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5524,0.0687,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5524,0.0687,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5945,0.0478,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.5945,0.0478,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.6367,0.0506,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.6367,0.0506,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.6789,0.0534,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.6789,0.0534,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.7210,0.0603,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.7210,0.0603,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.7632,0.0587,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.7632,0.0587,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8053,0.0588,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8053,0.0588,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8475,0.0584,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8475,0.0584,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8896,0.0845,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8896,0.0845,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.9317,0.0744,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.9317,0.0744,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.9739,0.0576,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.9739,0.0576,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.0160,0.0773,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.0160,0.0773,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.0581,0.0585,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.0581,0.0585,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1002,0.0776,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1002,0.0776,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1423,0.0694,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1423,0.0694,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1844,0.0563,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1844,0.0563,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2265,0.0696,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2265,0.0696,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2686,0.0610,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2686,0.0610,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3107,0.0768,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3107,0.0768,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3528,0.0704,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3528,0.0704,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3948,0.0658,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3948,0.0658,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4369,0.0737,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4369,0.0737,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4790,0.0701,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4790,0.0701,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5210,0.0697,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5210,0.0697,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5631,0.0813,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5631,0.0813,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6051,0.0700,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6051,0.0700,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6472,0.0569,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6472,0.0569,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6892,0.0643,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6892,0.0643,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7312,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7312,0.0596,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7733,0.0710,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7733,0.0710,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
