Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6505.0393,-0.0010,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.1230,-0.0010,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.2066,-0.0010,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.2903,-0.0041,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.3739,-0.0099,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.4575,0.0115,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.5410,0.0256,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.6246,0.0385,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.7081,0.0080,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.7916,0.0153,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.8751,0.0222,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.9586,0.0352,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.0420,0.0012,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.1255,0.0388,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.2089,0.0275,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.2922,0.0078,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.3756,0.0438,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.4589,0.0465,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.5423,0.0275,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.6255,0.0099,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.7088,0.0114,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.7921,0.0049,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.8753,-0.0037,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.9585,0.0022,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.0417,0.0043,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.1249,-0.0004,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.2080,0.0217,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.2912,-0.0016,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.3743,0.0066,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.4573,-0.0059,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.5404,-0.0025,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.6234,-0.0038,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.7065,0.0014,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.7895,0.0241,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.8724,0.0441,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.9554,0.0128,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.0383,0.0383,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.1213,0.0236,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.2041,-0.0217,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.2870,0.0365,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.3699,0.0410,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.4527,0.0281,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.5355,0.0108,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.6183,0.0291,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.7011,0.0429,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.7838,0.0081,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.8665,0.0093,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.9492,0.0132,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.0319,0.0055,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.1146,0.0161,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.1972,0.0156,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.2798,0.0289,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.3624,0.0104,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.4450,-0.0048,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.5275,-0.0234,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.6101,0.0275,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.6926,-0.0016,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.7751,-0.0037,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.8575,0.0034,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.9400,0.0219,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.0224,0.0286,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.1048,-0.0115,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.1872,0.0046,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.2696,0.0010,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.3519,0.0082,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.4342,0.0057,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.5165,0.0046,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.5988,0.0024,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.6811,0.0115,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.7633,0.0064,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.8455,0.0164,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.9277,0.0432,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.0099,0.0032,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.0920,0.0085,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.1741,0.0138,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.2563,0.0029,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.3383,0.0256,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.4204,-0.0214,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.5024,-0.0071,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.5845,0.0217,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.6665,0.0212,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.7484,0.0040,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.8304,0.0036,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
