Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6505.5760,0.0291,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.6607,0.1452,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.7453,0.0010,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.8299,0.0147,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.9145,0.1006,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.9990,0.0844,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.0836,0.0556,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.1681,0.0067,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.2525,0.0038,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.3370,-0.0111,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.4214,0.0210,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.5058,-0.0161,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.5901,0.0174,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.6745,0.0959,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.7588,-0.0003,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.8430,-0.0083,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6506.9273,-0.0025,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.0115,0.0007,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.0957,-0.0009,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.1798,-0.0226,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.2640,0.0506,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.3481,0.0549,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.4322,-0.0288,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.5162,0.0699,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.6002,0.1147,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.6842,0.0173,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.7682,-0.0027,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.8521,0.1121,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6507.9360,-0.0398,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.0199,0.0116,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.1038,-0.0031,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.1876,0.0710,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.2714,0.0173,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.3552,0.0123,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.4389,0.0361,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.5226,0.0318,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
